ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
200110	Human	1	0	华语第三	[NAME]总是自称第三，因为第一容易横死，第二容易被揍。从事一份上班8小时，聊天7小时半，拉屎半小时的神秘工作。虽然不知道具体是做什么的，但是听上去一直都很厉害。经常绑架勒索关押一些被称为肥宅的人，用嘴里塞抹布之类酷刑对待他们，但是他们居然好像也很开心的样子。	1	-1		-1	4			4		10																		
200111	Human	0	0	世外少年	从小生活在仙境般的世外桃源之中，除了那些偶尔出现的侠客会路过之外，就只有一只叫做“汉朝”的猫和一只叫做“罗马”狗与其相伴，平时除了修习侠客们留下的五花八门的功法，就是养花种草炼药了。	1	-1	2						8,1		8			5,1		5,1			5,1									
200112	Human	1	0	古剑收藏家	工长君长大后迷上了收藏各类古剑，他总是奔走于九州各处，试图发现那些不为人知的古剑，他的藏品无数，连他自己都不知道到底收藏了多少把剑。不过那不重要，做人嘛，有个喜欢收藏的爱好有什么错呢。	1	-1					1									6												
200113	Human	0	0	阴郁少年	[NAME]曾经拥有过一个幸福的家庭，在家人的关爱中健康地长大，直到15岁那年，父亲出轨，酗酒家暴，母亲惨死，他每天只能在孤独和痛苦中艰难度日，仇恨的种子也开始在心中萌芽，从一个开朗活泼的男孩转为阴郁冷酷的少年。	1	-1	1	2	-1	-1	-1	3,2	5	-5																		
200114	Human	1	0	复仇杀手	[NAME]在杀死自己的父亲成功复仇之后，变得残酷无情，喜怒无常，喜欢玩弄他人，对异性有极强的攻击性和异常的渴望。	1	-1	3	3	-1			12,2										12,2	8,2									
200115	Human	0	0	硬核少女	[NAME]出身于武林世家，从小性格就不服输，总是会挑战各种高难度的事情，上至薪王面前耍过刀，下至哑巴山里救过人，更经常跑到一个名为亚楠的城市里见义勇为，锦旗摆满了一层楼。	1	-1		2	2		1	3	4	4																		
200116	Human	1	0	女王大人	长期的见义勇为生涯让女王盐收获了一群同样有着硬核精神的小伙伴，他们围绕在女王盐身旁，并与其一起前往更多更远的地方，探索未知，享受极限。小伙伴们有时候会亲热地叫她“女王”，不过这并不是一种高傲的称呼，而是一种面对困难不会放弃的精神，还有百分之一的抖M。	1	-1		1	3		3	5,1	5,1	8,1						8,1		8										
200117	Human	0	0	仙人转世	没多少人知道未来科技派什么时候开始在江湖立的足，该门派已特立独行的在人世间扎根了好几百年，而该门派的掌门——王老菊，也并非一般人类：其本体乃是修炼已久的仙人，只是以凡人之躯体在江湖行走四方。\n化身凡人的王老菊拥有人的生老病死，在每次寿终后重新转世，并继承前世的记忆。无尽的轮回为的是不断掌握无穷无尽的知识，并通过体验人间疾苦保持珍贵的情感。	1	-1	1		3	1	1																					
200118	Human	1	0	未来科技掌门	未来科技派门下的弟子都是想要修仙的普通人类，当代轮回的掌门也一直在致力于磨练弟子，这一世已研究出一日25个时辰的修仙课程。而本世的王老菊也在人世间寻到了真爱——免免，并与之结为道侣，同入轮回，世世相伴。这段姻缘也在江湖被传为佳话。	1	-1						4	4	8						8	5											
200119	Human	0	0	书香世家	出生于书香门第，家教书先生乃是退隐江湖的侠客，时常为免免聊一些江湖趣事。长时间耳濡目染下，她也对江湖产生了浓厚的兴趣。	1	-1	2		1	2	1																					
200120	Human	1	0	掌门夫人	在偷偷离家闯荡江湖时遇到了刚入轮回的未来科技派掌门王老菊。在一同经历许多事后，和对方相识相知相爱，两人结为道侣，同入轮回，世世相伴，成为一段佳话。	1	-1								6	5					8	5											
200121	Human	0	0	书香门第	出生于修仙世家，从小接受详细的培养教育，奠定了良好的修仙基础。但由于叛逆与强烈的好奇心，个人兴趣不在于正统修仙而喜欢偷偷研究各种修行界隐秘。	1	-1	1	1	3	2				3	3	3				3			8									
200122	Human	1	0	探险之王	[NAME]长大后喜欢四处冒险去人迹罕至的秘境探险，擅长在危险边缘试探，勾引调戏机关。\n一路成长培养了良好的韧性与适应力，各种秘境都有他踏足的痕迹，成为探险者中口口相传的传奇人物，人称“散人干不死”！	1	-1	1	2					12				6		6		6											
200123	Human	0	0	懒癌缠身	孙渣从小天赋异禀，体内天生能储存比他人数量更多的灵气，但不知为何，他体内的灵气中也散发出强烈的懒气，让他无精打采昏昏欲睡，孙渣一直都在和自身的懒惰本能抗争，但收效甚微。	1	-1		-1	2	2																						
200124	Human	1	0	家里蹲穿越	孙渣是自一个社会竞争非常激烈的世界穿越而来的，在来到这个修仙的世界之前，他已经做了十几年的家里蹲，长期懒惰的生活让他四体不勤五谷不分。	1	-1	1	1	-1	3	2		8							15,2												
200125	Human	0	0	街厅朋克	儿时的半支烟大多时光是在市集中各家隐蔽温热的街厅中度过，其母某日发觉此子音乐天分极高，便送去当地知名提琴家拜师。然而第一天课堂时间就被母亲从学堂胡同一家街厅中揪住耳朵而匆匆结束了他的古典音乐生涯。\n但日后他对小提琴的自行摸索竟发现自己更适合弹吉他，因其对民谣吉他的不懈努力刻苦训练终于成为了一个不知名朋克乐队的鼓手！	1	-1			2	2										5												
200126	Human	1	0	半颜鬼差	半支烟因其不灭的耐心又执着的好奇心，当过“官兵”“匠人”“画师”，但因俊美的脸庞和出神入化的武艺，经常事半功倍。他深受其困，遂以面具折半颜，方能勉强正常生活。\n半支烟常以鬼差身份出没于每天深夜，捉鬼度日，只图人世一处洁净。因其嗜烟成性，世人谬称之“半支烟”。	1	-1	1		4			8,2								4												
200127	Human	0	0	出身豪门	出身名门豪族书香世家的大小姐，容貌秀丽实力强悍。因天资过人被强行要求习得无数功法盼女成凤，但因有心结一直不能突破自身瓶颈。	1	-1			3	1		3	8,1							8												
200128	Human	1	0	紫色光芒	表面高贵冷淡，实际胸有沟壑。历尽山水风景一笔一剑走江湖。偶尔教习开蒙学童写书作画。民间有人不解其性情加以胡编乱造编排是非，她不解释也不屑解释，只愿结交懂她的人。	1	-1	2		1	1		5																				
200129	Human	0	0	邻家少女	机巧工匠世家出生的邻家少女。宠女儿的父亲会做各种机关玩具，把女儿养成了天性活泼又不失主见的性格，过于活泼，如果给她机会她会马上仗剑江湖。	1	-1		1	2		1										12											
200130	Human	1	0	橙色旋风	天真活泼的邻家小姑娘，偶尔还有点冲动。虽然看起来纯良无害，但内心洞悉人情世故。见不得人受欺负，喜好行侠仗义打抱不平——通常还是会量力而行的。	1	-1			2				5							8			8									
200131	Human	0	0	游戏王	[NAME]天生聪颖好动，喜欢呼朋引伴的玩乐。在[IT]十岁的时候，无论棋牌灯谜，还是蹴鞠投壶，[IT]都无一不精。斗蟋蟀更是[ITS]独门绝技，[IT]挑选的蟋蟀往往犀利非常，罕有人敌。	1	-1	1			1				4																		
200132	Human	1	0	武籍收集者	分米仓木对收集天下的武功秘籍情有独钟，喜加一的魅力让他长期沉迷于其中而无法自拔，无论是阴的阳的柔的刚的内的外的。为此他散尽千金，网罗天下的各式绝世武功。	1	-1		2			2	5	8		12					8												
200133	Human	0	0	山匪头目	[NAME]是乾元山上山匪头子的女儿，从小便在刀尖上讨生活，武艺超群，胆识过人，性格豪爽，仗义直言。	1	-1		1	3		1	4,2									8											
200134	Human	1	0	女侠客	[NAME]因父亲被仇人杀害，十六岁起便接替其成为山寨扛把子，立下规矩不杀无辜，不抢良民。后因叛徒出卖，山寨被灭门，在众兄弟的保护下逃了出来，心灰意冷之际萌生出世修行的念头。	1	-1		2	1	1	1	10	8																			
200135	Human	0	0	墨家弟子	[NAME]幼而聪敏，自小随村中墨家高人习练机关数术、强身健体之法。良师的指点，自身的天资让[IT]小小年纪便心思细腻，胆识过人。	1	-1				1	2					-3		-3			8						Craftsman					
200136	Human	1	0	游侠	[NAME]自成年后已出门历练三年有余，终日行侠仗义锄强扶弱，近日于大凉城得遇一道人，言其颇有仙缘。这勾动了[NAME]求仙问道之念。	1	-1		1		1	1	8,2											12				Warrior					
200137	Human	0	0	音乐天才	[NAME]小时候对乐器有极大的天赋，所有乐器无师自通。但可惜的是天妒英才，一场大病夺去了她的听力。	1	-1				4										8			12									
200138	Human	1	0	墨村村民	[NAME]长大后来到一个名叫墨村的村子之中，村子里人都要有一些吹拉弹唱的手艺才能生存下去，个个才华横溢。[NAME]依靠自己超卓的乐器天赋获得了村人的认可，并在这里生活下去。	1	-1				2			10							6,2												
200139	Human	0	0	墨村村民	[NAME]生活在一个名叫墨村的村子之中，村子里的人都要有一些吹拉弹唱的手艺才能生存下去。结果狮子头就是在这样的环境中练就了一身的好厨艺！	1	-1	2	2		2				2		5																
200140	Human	1	0	墨村厨神	[NAME]渐渐地厨艺被认可，多年之后，居然获得了神厨的称号，同时因为寄情于山水之间，所有菜式的特色和音律都有了相辅相成的效果，自此开创音律菜，流传于世。	1	-1	2	2	1	2	2			4,1		10,1				8							LunHui_42					
200141	Human	0	0	书香门第	[NAME]出生在一个书香门第，从小就美丽与智慧并存，并表现出了对音乐和舞蹈的喜爱，喜欢所有美好的雅艺，在很小的时候就励志做一个乐者。	1	-1		1	2							5				4,1							Artist					
200142	Human	1	0	老板娘	[NAME]在成年之后，很幸运的找到了墨村，但是很不幸的嫁给了墨村的神厨，自此，从热爱美好音乐，转变成了喜爱所有美好的食物，成了墨村食肆的老板娘。	1	-1	1	1		1	1	8								8												
200143	Human	0	0	人生赢家	[NAME]钟天地气运所生，天赋异禀，盖世无双。无所不能，无所不会。他的出生，简直可以说是老天犯了错误。	1	-1	10	10	10	10	10	20	20	20	20	20	20	20	20	20	20	20	20									
200144	Human	1	0	一无所有	虽然他的出生是那么的耀眼，那么的光芒四射。但可惜的是，[NAME]注定一无所有。	1	-1	-20	-20	-20	-20	-20	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40									
200145	Human	0	0	神医世家	[NAME]出身传说中隐世的神医门派，家族天生骨骼神异，族人10岁起火化后可得结晶一颗，乃救人神药髓珠，有生死肉骨之效。\n正因此故，家族隐居灵山深处潜心研习医术，成年弟子下山历练医术，危机处可以家传髓珠救人性命，但不可暴露其来处。历练弟子被世间传称为神医玉先生。[NAME]作为族长之女天赋上佳医术超群从小无忧无虑，喜爱动物及音律。	1	-1		2		3					8,1	5				2							Artist					
200146	Human	1	0	云游医仙	[NAME]因一时善心救人被骗出家族隐居地，家族被多番设计泄露了髓珠内情，最终一场大火全族覆灭，髓珠尽数落入仇人之手，只有自己侥幸逃脱，从此性情大变脾气清冷古怪，对人多有戒备，但仍不失医者之心。\n后来，[NAME]自家族禁地悟得典籍残片，自行改进修行成功，以绝世毒术孤身报得家族血仇。而后[NAME]留恋山水音律之间，继续研习医术，间歇云游人间治病救人，被称为医仙玉真人。	1	-1	1	1		2	1				5	4				8							LunHui_35	Pessimism				
200147	Human	0	0	书童	[NAME]乃是官宦人家的次子，天生聪慧，然因朝野之争家道中落，为求生路沦为书童，幸而未断学识。	1	-1		-2	1	2						8				4	6											
200148	Human	1	0	吟游乐师	[NAME]家传古卷《初音·律》未曾离身，经年后终得其精髓，音律自成一派。心向往自然，便邀同道好友二三，避世于山野远离喧嚣，以琴为道，传道授业为人师表。	1	-1			3		3					4				7	4											
200149	Human	0	0	灭国皇子	原是西域小国纳兰国的皇子，从小天资聪颖，过目不忘，但身体虚弱。自幼熟读纳兰国皇室各类存书。后来纳兰国在征战中被灭，侥幸逃脱性命。	1	-1	2		2	1										8												
200150	Human	1	0	求道者	国家被灭后，[NAME]独自流浪到中原，虽然国破家亡，但是自幼读史中，看透历史变迁，所以心中已无怨恨，一心只求各类学问。虽然身体不好，但是靠着聪明才智，在中原各地读书求学，儒学功底深厚，同时其他诸子百家也多有涉猎。	1	-1	3			2										4			12									
200151	Human	0	0	少年导演	[NAME]童年立志成为一个电影导演，在表达自己的想法同时，可以赚钱搬到市中心。	1	-1				1										8												
200152	Human	1	0	穿越者	[NAME]成年开始做游戏并意外暴富，准备追求自我表达。然而就在新事业起步之时，却突然穿越到了这个世界。新的生活也解开了序幕。	1	-1				2	2									4												
200153	Human	0	0	小记者	胡雪飞儿时是一个战地小记者。他敏锐的观察力让他能够洞悉战场上发生的很多细节。从小的军旅生涯也给与了他许多宝贵的经历。	1	-1		3			2	10,2		8,1								8,1										
200154	Human	1	0	傻子	胡雪飞长大后生了一场大病，之后他就不愿意像别人那样通过“最聪明”的方法去达成目标。也正因为这样，周围的人都叫他傻子。	1	-1			3		2							8,2														
200155	Human	0	0	吕不韦老乡	[NAEM]和历史上非常出名的吕不韦是老乡。他从小就显示出了超出常人的评书天分，为人非常慷慨，经常送礼物给周边邻居朋友。	1	-1			2	3		4		6,1					3		4,1											
200156	Human	1	0	评书人	成为了一名职业评书人，经过自己的不懈努力被广为人知，但也曾因为知识面不够、灵感不够而出现短暂的低谷期，在周边亲朋好友的帮助和而鼓励下，重拾信心，并且和志同道合的朋友们组成了“粉色回忆”的团队，有众多的粉丝	1	-1			2		3			8							8						LunHui_57					
200157	Human	0	0	乡村孩童	普通村民家孩子，从小混迹酒楼茶肆门口，目见耳闻各种江湖奇人异事，对绯闻八卦尤感兴趣。	1	-1	2			1							9	12														
200158	Human	1	0	店小二	店小二，兼职为客人打探小道消息，但客人经常被其嘴碎念晕。想了解各种江湖花边新闻，找他准没错。	1	-1	1				1			12																		
200159	Human	0	0	老大	寅子出生在边境海边的一个村子，从小就是村子里孩子们的老大。他为人仗义，带领着其他孩子成立童子军。无论是打击敌国势力还是出海消灭强盗，寅子身先士卒，并指挥着其他伙伴一起战斗，久而久之连一些比他大的孩子也称之为老大。	1	-1		1	2		1																					
200160	Human	1	0	三百六十行	长大后的寅子为了正义到处冒险，他对一切都充满兴趣，尝试过各行各业，踏遍了五湖四海,经历过很多风浪，也让他伤痕累累\n在这个过程中，他遇到了许多人。有的人加入过他的队伍，也有人离开，但不管留下的或离开的人，都非常尊重他，依然称他为老大。	1	-1	2	-2	3	1	3	8,2	5,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2											
200161	Human	0	0	张德帅将军	在遥远的潘德的大陆上，幼小的张德帅被潘德大陆上的战争所熏染，内心期待长大后统领千军万马，征服潘德大陆。在他15岁当上雇佣兵的那一刻起，他的野心就已经暴露了。张德帅利用诺多精灵与人类的敌对关系，从一个小部队首领经历数十年的壮大直到侵占了潘德大陆的所有国家。在他即将登上潘德大陆王位的那一刻，他穿越了。	1	-1		5	2			15,2					7	7														
200162	Human	1	0	鬼中之父	此鬼父非彼鬼父，经历了穿越，到达鬼界的他，并没有感到害怕。他选择与魑魅魍魉亲切较好，并在鬼界与魔界的战争中创下赫赫战功，他们亲切的叫他：“鬼父”。\n在一次惨烈的战争后，[IT]神魂受了重伤，只能施展偷天换日的神通轮回到人间化为凡人。过往的记忆暂时封印，[IT]即将开始新的凡人生涯。	1	-1		-1			3		8									12	8									
200163	Human	0	0	异邦过客	据传古落是在某天被西天外飞来的一只野鹳叼来的，但没有人知道古落究竟出自何地、来自何方。虽然自小混迹于武林江湖，却未曾拜在任何名门正派门下，看似自命清高、却似乎在每次武林争斗和江湖大事中都能瞥见其只身片影。其虽然年纪尚幼小，但行事诡谲老到，不留痕迹。	1	-1		2			3	3	10				5	5														
200164	Human	1	0	云游孤鹳	出身经历都未曾被世人所知的江湖神秘人，因其自始至终都是身披黑白两色布衣包覆身形及面庞、操着一肚腹语行走天下，就连年龄及性别都皆成谜。而有关其身怀武艺也是无人知晓，唯一声名在外的或许只有他的飞天遁地术，常以神不知鬼不觉的行动穿梭在武林江湖的各大纷争中，却又始终置身于核心矛盾之外，俨然一副身外事模样。乍看之下亦正亦邪捉摸不清，却又能常在异常危险之时倏然出手，靠着出奇制胜之法帮助化解危机，世人皆不啧啧称奇。	1	-1		1		1		7		-5								8	3									
200165	Human	0	0	普通人家	出身自普通人家，成长过程中从未展现出有任何武学的天赋，所以而立之年以前都过着按部就班的普通生活。只因其自小就有些痴迷于侠客们的传奇故事，终于在20岁那年他轻率的告别了父母亲朋，投身进了那个他其实一无所知的江湖	1	-1								12																		
200166	Human	1	0	改变江湖	关于这个江湖他知道的越多，便越愤怒。明明这世上仍有那么多的不公，那么多的虚伪，那么多的欺凌和怨毒——为何那些自诩为名门正派的人们，仍可以那么的怠惰散漫甚至这样持续几十年毫无作为呢？！于是，他就轻率的决定了，他要去改变这个江湖。	1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2									
200167	Human	0	0	失忆少女	[NAME]的来历成迷，某天醒来后就突然忘记自己的身世。但这不妨碍她玩乐，所以并不为此困惑，反倒活得更加自在。	1	-1	2		2							8,2																
200168	Human	1	0	点心女孩	常常听江湖上传闻她混迹于各地大小的楼院乃至王府豪宅，每当被问起时，本人一脸无奈地表示道她自幼喜爱歌舞，去那些地方无非是去找姐姐们学艺谈心，再喝些茶，吃点点心罢了，然后便会涛涛不绝地讲述她吃过哪些好吃的点心，等等等等。	1	-1			3		2			8						10	10											
200169	Human	0	0	鸽精化形	修炼千年的鸽精，舍去修为化为人形，受人界诱惑常驻人间。	1	-1		1													8		8									
200170	Human	1	0	游戏主播	由于喜好玩乐，于是在人间热衷于教人玩乐之道，被称为“游戏主播”。	1	-1		3	2					14,1						8,2												
200171	Human	0	0	剑仙转世	[NAME]出身于书香门第，但从小喜欢听闻江湖上的侠客们的故事，尤其是那一句“侠之大者，为国为民”更是让他弃文从武，并选择象征君子的剑成为自己的兵器！最终成为一代剑仙。\n后为体悟剑道极致，舍弃修为封印记忆，重归凡人之身。	1	-1	1	2				7								2,2												
200172	Human	1	0	德云色掌门	转生后的[NAME]成年后，成立了属于他的门派，德云色，并且招纳了一批后来名动天下的弟子。德云色以“忠孝义礼”广纳天下之士，名动江湖。	1	-1			3				8,2	2,2							5		5									
200173	Human	0	0	仙人转世	[NAME]出身于富贵之家，乃是某仙人轮回转世之身。性格懒惰但是却天赋异禀，学什么东西都很快，最喜欢的事情就是模仿和仿造各种各样稀奇古怪的东西。	1	-1	1			3	1	7	6					-10														
200174	Human	1	0	德云色副掌门	成年之后，西卡收集了天下所有的武功秘籍，并以此为基础开创了属于自己的功法，“以彼之道，还之彼身”。后行走江湖时与孙亚龙一见如故，共同创立名震天下的门派德云色。	1	-1	3		1				2,2	2					2		2											
200175	Human	0	0	穿越者	穿越多个游戏世界，励志将每个游戏世界带向光明的结局，据说拥有赛亚人的血统，各种能力属性爆表，但是只有在听到“叮”（修改器）的一声后才会爆发，所以..有时候也不是那么强。\n他总是喜欢自称平生没有任何过错，然而实际上只是看到他过错的人都被弄死了..所以当他的门人要学会眼瞎...这次修仙之旅又会带来怎么样的传奇故事呢？	1	-1		3			3	6	6	6																		
200176	Human	1	0	依然小智替身	在此方世界，[NAME]拿出了一个神秘的身份，无人知其来历，无人知其细节。	1	-1		1		3		4	4	4	4	4	4	4	4	4	4	4	4									
200177	Human	0	0	星相学者	偏远乡国皇室外戚，其父主伺观星器具，时逢皇家修仙成风，不务朝政，民不聊生，将军兵谏诛杀星官，父将星器交予其而逃亡，生死不明，陆夫人躲入深山继承父业研究星象而不知年月。	1	-1				2			8,2		5,2						8,2		8,2									
200178	Human	1	0	星相学家	多年后，朝纲稳定，修仙之风再起，陆夫人重出深山，未来之命，交予谁手？！	1	-1	2	2		1	1						5	5	5			5										
200179	Human	0	0	嘴遁	杨树出生嘴遁世家，祖上来自东瀛的漩涡一族，数百年沧海沧田，家道中落，到杨树爷爷那一辈远渡重洋来到杨家村。杨树继承了祖上的嘴遁传统，从小话唠不止，行侠仗义，是个劝架高手。	1	-1	1	1	3	1			8																			
200180	Human	1	0	状师	经过十几年游历天下与不断磨练，杨树已经成为当世最负盛名的大壮师，他辛辣毒舌的嘴炮风格为人称道，接受的案件从未败诉，解决了无数纷争。杨树与女助手黛真的风流韵事也传为江湖佳话。	1	-1			2	3	1			15,2						8,2												
200181	Human	0	0	管理才能	诺瓦自小天资聪颖。以历史最年轻纪录成为市长之后，他在多地组织城市社区，医院，机场等等各种建设工作，做过军事指挥，甚至参与过各类外星探索计划并作出杰出贡献，但最终没有在任何一个地方定居久留。为了丰富见识和迎接更大的挑战，诺瓦此人一生都在寻找着新的目的地。	1	-1	2										6	6	6		6											
200182	Human	1	0	市长	尽管早已不在任何机构任职，但常年游走于政府和各类大中型集团企业的决策层使得诺瓦有着丰富的管理经验。这些经验涵盖士工农商等各个领域。同时因为常年应对各类政客的缘故使得诺瓦练就了一套优秀的辩论技巧，在处理沟通事务时游刃有余。这些经验被诺瓦牢记于心，即便在轮回转世之后也未完全忘却。	1	-1		1			1		8	8																		
200183	Human	0	0	才华天授	上辈子照妲为智障儿童, 因为父母早亡，自己又行动不便，孩子生活的十分困苦，内心却十分善良，做过许多好事，感动上苍，故而转世。此世照妲到五岁时，不曾认识书写工具。忽然有一天哭着索要这些东西。他的父亲对此感到诧异，就向邻居那里把那些东西借来给他。他立刻写下了四句，并自己题上自己的名字, 给全乡的秀才观赏。	1	-1	2			2								8														
200184	Human	1	0	昆仑寻仙	照妲天赋异禀却未踏入仕途，经高人点播成为了医道大家，救死扶伤，活人无数。后照妲醉心修行，踏上找寻仙人踪迹的旅途，并帮助路途上的人们。功夫不负有心人，照妲最终在昆仑山寻到仙人洞府，从中获得秘册一部。	1	-1					2		6		5,2																	
200185	Human	0	0	祈愿之力	万千凡人向往安乐祥和的修仙世界，故产生巨大的祈愿之力，经过日积月累终凝聚出了一个新的生命！他给自己命名为申申如也。《论语》中提到“子之燕居，申申如也，夭夭如也。”形容孔子在家的日常生活中很舒适，并且过得非常活泼愉快，而非愁眉苦脸天天忧愁。申申如也的名字就是由此而来。后来申申如也成仙后因不忍凡间疾苦故再入轮回，将快乐带到凡间。	1	-1	3			5	3	0,1	0,2		0,2				0,1	0,2	0,2		0,2				Reader	SonOfDestiny	Optimistic	Craftsman		
200186	Human	1	0	密文	《醉中活-平凡安乐》\n事不难，事不易，完美一事最不易。\n人思事，必思玉，然事生瑕渐自醉。\n醉解忧，醉解愁，醉解不了自无能。\n知醉罪，痛醉罪，享醉中乐不思解醉。	1	-1							12			-10		15				10	5									
200187	Human	0	0	剑仙转世	[NAME]前世乃是纵横修行界的剑仙，以一剑绝杀之术闻名。曾杀龙屠凤，更与上古修行者争锋，威震天下。	1	-1						8,2	8,2						8,2								LunHui_65					
200188	Human	1	0	赫门领袖	[NAME]乃是赫门领袖，其门下门徒万千，声势浩大。	1	-1	1		1	4	2																					
200189	Human	0	0	多宝童子	[NAME]前世乃是太上座下童子，入世轮回后出生在一个手艺人家庭，天生收到命运的眷顾，有化腐朽为神器的技艺。经过他的改造，就算是看上去毫无用处之物也能发挥出妙用。	1	-1							8,2								8,2		8,2				Reader	SonOfDestiny	Craftsman			
200190	Human	1	0	赫门弟子	[NAME]乃是赫门弟子中的佼佼者，跟随赫门领袖东征西战，立下汗马功劳。	1	-1	6		1	1																						
200191	Human	0	0	千金之体	[NAME]乃是来自奉天的公主，然而她从小就有一个江湖梦，并不满足于千金大小姐的生活。为此她甘受辛苦磨炼出一副好身手。	1	-1							8,2	8,2							2	0,2					LunHui_56					
200192	Human	1	0	赫门弟子	[NAME]乃是赫门弟子中的佼佼者，跟随赫门领袖东征西战，立下汗马功劳。	1	-1	3	2		2	1																					
200193	Human	0	0	道心转世	[NAME]乃是上古仙人转世，天生拥有超凡脱俗的道心，是天生的修道种子。	1	-1							8,1								10,2		10		10							
200194	Human	1	0	上清传人	[NAME]成年后，在前世记忆的引导下重入仙门，恢复自己上清传人的身份。身负上清传承的[NAME]立志恢复天尊荣光。	1	-1	5			2	1		3																			
200195	Human	0	0	仙女下凡	[NAME]是从天上下凡历练的仙女，以人美胸大出名。曾经是一名技术流选手，后来成为了一名游戏解说。这些经历让她充满冒险精神。	1	-1			3	2																	Optimistic					
200196	Human	1	0	妙手行天下	[NAME]后来上了战场成为一名救死扶伤的医疗兵，其医术过人，被称为第一医疗兵，运用出色的医术挽救了无数条生命。[NAME]活泼善良乐观的性格使她周围朋友众多，不论在哪儿她都能交到一群好朋友，人称交际楼。在一次意外的经历中，[NAME]穿越时空来到修仙世界，有什么样的经历等待着她呢？	1	-1					2		5,2	10,2	5	-6						8,2					Strong					
200197	Human	0	0	百炼之肝	[NAME]本为一只懵懂的肝脏，因为身体的主人经常熬夜，成功练成了百炼之肝而拥有意识。可惜的是主人在一次入定中不小心消耗完寿命，不得不强行飞升，而只留下仙人遗蜕，百炼之肝得以破体而出，铸就人身。看着主人元神飞升的灵魂，他无比的向往，于是对外人称--飞羽仙狂。	1	-1	3	3			2		12,1																			
200198	Human	1	0	魔修之祖	[NAME]原身曾开辟出“魔修”一脉道统，从者云集，深得处事之道。了解各个门派大能喜好，热情好客，常常邀请各路仙友来门派做客，以桑拿房，极乐丹，豪华住房热情招待。仙友满意的离去时，也会留下一些随身物品作为谢礼。\n而由于门派百废待兴，做为掌门人，[NAME]原身也会亲自到各大门派借取一些物资来发展和建设门派，他最大的愿望就是门派可以再次崛起，成为修仙界的中流砥柱。[NAME]也继承了自己原身的信念。	1	-1			5	3				20,2						20,2												
300001	YaoGuai	0	0	大能点化	[NAME]原本是一个[ITEM]，本该尽其物用而消亡。然而[NAME]机缘天造，于[TIME]受[TNAME]点化而通灵，觉醒自我意识，成为精怪。	1	-1	1	1	1																		Features_JingGuai_0					
300002	YaoGuai	0	0	天地通灵	[NAME]原本是一个[ITEM]，本该尽其物用而消亡。然而[NAME]机缘天造，于[TIME]的在一场雷暴中偶获天地灵机，竟然觉醒自我意识，成为精怪。	1	-1	2	-1	1		1																Features_JingGuai_0					
300003	YaoGuai	0	0	天地通灵	[NAME]原本是一个[ITEM]，本该尽其物用而消亡。然而[NAME]机缘天造，于[TIME]的在一场瘴气中偶获天地灵机，竟然觉醒自我意识，成为精怪。	1	-1		2		1																	Features_JingGuai_0					
300004	YaoGuai	0	0	天地通灵	[NAME]原本是一个[ITEM]，本该尽其物用而消亡。然而[NAME]机缘天造，于[TIME]的在一场暴雨中偶获天地灵机，竟然觉醒自我意识，成为精怪。	1	-1		1	2	-1	1																Features_JingGuai_0					
300005	YaoGuai	0	0	天地通灵	[NAME]原本是一个[ITEM]，本该尽其物用而消亡。然而[NAME]机缘天造，于[TIME]的在一场焚风中偶获天地灵机，竟然觉醒自我意识，成为精怪。	1	-1	-1			2	2																Features_JingGuai_0					
300006	YaoGuai	0	0	天地通灵	[NAME]原本是一个[ITEM]，本该尽其物用而消亡。然而[NAME]机缘天造，于[TIME]的在一场沙暴中偶获天地灵机，竟然觉醒自我意识，成为精怪。	1	-1		1	-1		3																Features_JingGuai_0					
300007	YaoGuai	0	0	天地通灵	[NAME]原本是一个[ITEM]，本该尽其物用而消亡。然而[NAME]机缘天造，于[TIME]的在一场灵气爆发中偶获天地灵机，竟然觉醒自我意识，成为精怪。	1	-1				1	1		5,2														Features_JingGuai_0					
300008	YaoGuai	0	0	灵性觉醒	[NAME]原本是一个[ITEM]，本该尽其物用而消亡。然而[NAME]机缘天造，在[TNAME]身边年深日久灵性累积，竟然于[TIME]偶然觉醒自我意识，成为精怪。	1	-1				2	1																Features_JingGuai_0					
300009	YaoGuai	1	0	丹药成灵	[NAME]的原身乃是丹药，其在第一次服用灵丹药物时，不会产生耐药性。	1	-1									10,2								10,2									
300010	YaoGuai	1	0	餐食成灵	[NAME]的原身乃是餐食，其天生便拥有很高的饮气能力。	1	-1										10,2											Features_JingGuai_2					
300011	YaoGuai	1	0	玄珀成灵	[NAME]的原身乃是玄珀，在道淬，幽粹和灵粹时，成功率提高1倍。	1	-1																			10,2							
300012	YaoGuai	1	0	灵石成灵	[NAME]的原身乃是灵石，他天生拥有更多的灵气。	1	-1							10,2														Features_JingGuai_1					
